recency_dias,frecuencia_6m,ticket_promedio_usd,ltv_historico_usd,tiempo_entrega_promedio_min,sensibilidad_promos,quejas_recientes,distancia_local_km,churn_delivery,conversion_salon,valor_6m_aprox,tasa_quejas_por_pedido,promocion_vs_distancia,marca_principal_Kobe Sushi,marca_principal_Noe Sushi Bar,marca_principal_Nubori Experience
70,2,43.51,141.91,49.0,0.22,0,6.7,0,0,87.02,0.0,0.03235294117647059,False,False,False
15,6,18.95,260.16,57.0,0.49,0,0.8,0,0,113.69999999999999,0.0,0.5444444444444444,True,False,False
100,6,54.16,758.81,39.0,0.2,0,16.9,1,0,324.96,0.0,0.011764705882352941,False,True,False
120,7,48.01,764.72,53.0,0.56,0,8.3,1,0,336.07,0.0,0.06666666666666667,False,True,False
97,5,11.46,160.64,65.0,0.28,0,7.4,0,0,57.300000000000004,0.0,0.037333333333333336,True,False,False
24,4,55.76,834.44,45.0,0.26,0,1.4,1,0,223.04,0.0,0.17333333333333334,False,True,False
27,6,28.17,494.0,22.0,0.27,0,2.6,1,0,169.02,0.0,0.1,True,False,False
49,7,11.19,247.64,41.0,0.21,0,3.0,0,1,78.33,0.0,0.06774193548387096,True,False,False
75,6,45.57,478.02,63.0,0.12,0,4.2,0,0,273.42,0.0,0.027906976744186046,False,False,True
113,4,88.46,785.05,81.0,0.18,0,4.7,1,0,353.84,0.0,0.0375,False,False,True
23,9,73.52,1062.75,46.0,0.41,0,0.9,0,1,661.68,0.0,0.41,False,False,True
33,8,17.1,372.96,60.0,0.36,0,2.9,0,0,136.8,0.0,0.12,True,False,False
41,7,18.77,499.8,39.0,0.69,0,10.0,0,1,131.39,0.0,0.06831683168316831,True,False,False
110,2,55.3,172.9,55.0,0.17,0,2.0,0,1,110.6,0.0,0.08095238095238096,False,True,False
111,3,59.8,429.98,37.0,0.1,0,14.6,0,0,179.39999999999998,0.0,0.006802721088435375,False,True,False
56,2,19.16,66.0,29.0,0.35,0,1.7,0,0,38.32,0.0,0.19444444444444442,True,False,False
29,5,40.82,784.81,53.0,0.72,1,2.9,0,1,204.1,0.16666666666666666,0.24,False,True,False
31,2,24.43,144.77,25.0,0.27,0,1.3,0,0,48.86,0.0,0.19285714285714284,True,False,False
65,4,63.21,851.96,56.0,0.14,1,2.7,0,0,252.84,0.2,0.05,False,False,True
98,7,10.87,295.54,38.0,0.21,0,9.6,0,1,76.08999999999999,0.0,0.021649484536082474,True,False,False
18,3,44.06,302.57,50.0,0.22,0,5.7,0,1,132.18,0.0,0.03793103448275862,False,True,False
82,8,19.55,327.44,48.0,0.22,0,1.5,0,0,156.4,0.0,0.13749999999999998,True,False,False
6,9,57.51,1725.1,20.0,0.48,1,0.5,1,0,517.59,0.1,0.8,False,True,False
52,4,71.48,663.03,32.0,0.02,2,2.1,0,1,285.92,0.4,0.00909090909090909,False,True,False
40,8,20.56,392.58,56.0,0.18,1,0.6,0,1,164.48,0.1111111111111111,0.2571428571428572,True,False,False
65,5,66.7,1078.99,20.0,0.18,0,3.8,0,1,333.5,0.0,0.046153846153846156,False,False,True
111,6,33.58,647.2,25.0,0.29,0,1.7,1,0,201.48,0.0,0.1611111111111111,False,False,False
42,11,77.28,2600.41,29.0,0.37,0,11.0,0,0,850.08,0.0,0.03333333333333333,False,False,True
94,7,72.88,1518.9,44.0,0.28,0,1.8,1,1,510.15999999999997,0.0,0.1473684210526316,False,False,True
68,7,48.43,642.35,67.0,0.11,0,3.6,0,1,339.01,0.0,0.029729729729729728,False,True,False
32,3,45.27,459.65,33.0,0.64,0,4.3,0,0,135.81,0.0,0.14545454545454548,False,False,True
10,5,10.29,120.14,49.0,0.23,0,10.3,0,0,51.449999999999996,0.0,0.022115384615384617,True,False,False
107,10,24.68,507.93,43.0,0.29,0,10.8,1,0,246.8,0.0,0.02660550458715596,True,False,False
69,7,20.31,420.37,64.0,0.32,2,0.5,1,0,142.17,0.25,0.5333333333333333,True,False,False
9,3,22.21,131.1,52.0,0.33,0,1.0,0,1,66.63,0.0,0.3,True,False,False
69,6,15.82,296.77,66.0,0.63,0,5.0,0,0,94.92,0.0,0.12352941176470589,True,False,False
61,7,12.57,294.13,34.0,0.21,0,3.1,0,1,87.99000000000001,0.0,0.06562499999999999,True,False,False
11,5,33.97,520.47,50.0,0.04,0,9.7,0,0,169.85,0.0,0.004081632653061225,False,False,True
99,9,13.78,319.78,44.0,0.36,0,4.6,1,0,124.02,0.0,0.07659574468085108,True,False,False
91,6,14.21,163.63,51.0,0.56,0,8.6,0,1,85.26,0.0,0.06436781609195404,True,False,False
68,3,44.85,417.9,64.0,0.59,3,2.4,1,0,134.55,0.75,0.236,False,True,False
74,4,15.08,117.58,33.0,0.59,1,13.4,1,0,60.32,0.2,0.0437037037037037,True,False,False
103,8,47.34,1127.61,39.0,0.33,0,1.7,0,0,378.72,0.0,0.18333333333333335,False,False,True
97,5,17.15,200.06,51.0,0.35,0,3.0,1,1,85.75,0.0,0.1129032258064516,True,False,False
102,6,67.91,1281.04,34.0,0.36,0,5.2,0,0,407.46,0.0,0.06792452830188679,False,False,True
8,7,25.84,668.26,52.0,0.17,0,4.6,0,1,180.88,0.0,0.03617021276595746,False,False,False
49,12,17.45,540.58,44.0,0.66,0,7.0,0,1,209.39999999999998,0.0,0.09295774647887325,True,False,False
24,8,15.57,337.38,66.0,0.3,0,8.0,0,0,124.56,0.0,0.037037037037037035,True,False,False
103,8,81.37,1618.27,60.0,0.36,0,1.5,0,1,650.96,0.0,0.22499999999999998,False,False,True
33,9,21.48,576.32,77.0,0.22,0,1.3,0,0,193.32,0.0,0.15714285714285714,False,True,False
105,6,64.64,1041.8,35.0,0.49,1,0.6,0,1,387.84000000000003,0.14285714285714285,0.7000000000000001,False,True,False
107,12,16.78,347.76,38.0,0.18,0,4.4,1,0,201.36,0.0,0.04,False,False,False
19,8,14.28,186.53,39.0,0.33,0,30.0,1,0,114.24,0.0,0.010963455149501661,True,False,False
2,4,17.36,247.37,49.0,0.53,0,1.4,1,0,69.44,0.0,0.35333333333333333,True,False,False
55,7,21.29,558.18,53.0,0.14,0,7.9,0,1,149.03,0.0,0.0175,True,False,False
11,4,62.55,877.42,78.0,0.39,0,0.7,0,0,250.2,0.0,0.48750000000000004,False,False,True
99,5,42.53,384.98,63.0,0.72,0,11.8,1,0,212.65,0.0,0.06050420168067226,False,True,False
17,6,26.84,626.9,49.0,0.22,0,15.5,0,0,161.04,0.0,0.014102564102564103,True,False,False
42,12,14.65,544.13,72.0,0.35,0,17.4,0,0,175.8,0.0,0.02,True,False,False
61,6,12.07,146.78,45.0,0.05,0,5.0,0,0,72.42,0.0,0.009803921568627453,True,False,False
3,4,20.88,152.95,30.0,0.2,0,6.6,0,1,83.52,0.0,0.029850746268656723,True,False,False
86,6,50.9,1032.93,55.0,0.48,2,3.2,0,0,305.4,0.2857142857142857,0.14545454545454545,False,True,False
35,8,34.55,616.59,33.0,0.33,1,4.5,0,0,276.4,0.1111111111111111,0.07173913043478261,False,True,False
85,10,68.71,2017.28,52.0,0.25,0,7.3,0,1,687.0999999999999,0.0,0.033783783783783786,False,False,True
89,12,54.63,1391.34,25.0,0.07,0,10.5,1,0,655.5600000000001,0.0,0.0066037735849056615,False,True,False
103,6,15.27,154.77,21.0,0.19,0,17.6,0,1,91.62,0.0,0.010734463276836156,True,False,False
66,8,30.48,616.36,61.0,0.43,0,5.3,1,0,243.84,0.0,0.07962962962962963,False,True,False
1,4,35.77,477.82,43.0,0.77,0,4.7,0,1,143.08,0.0,0.16041666666666668,False,False,False
7,6,33.63,667.8,21.0,0.15,0,5.0,0,0,201.78000000000003,0.0,0.029411764705882353,False,True,False
20,4,33.74,265.7,52.0,0.46,0,0.5,1,0,134.96,0.0,0.7666666666666667,False,False,False
43,8,41.8,714.32,42.0,0.14,0,5.3,1,0,334.4,0.0,0.025925925925925932,False,True,False
119,8,40.71,837.39,56.0,0.03,0,5.0,1,0,325.68,0.0,0.0058823529411764705,False,True,False
6,7,49.08,1195.33,62.0,0.32,0,0.5,0,1,343.56,0.0,0.5333333333333333,False,True,False
55,8,15.49,399.47,66.0,0.48,0,1.3,0,0,123.92,0.0,0.3428571428571428,True,False,False
100,5,11.79,195.83,38.0,0.45,0,0.9,1,0,58.949999999999996,0.0,0.45,True,False,False
115,4,24.38,235.5,27.0,0.54,0,3.5,1,0,97.52,0.0,0.15,True,False,False
21,7,65.56,1672.37,58.0,0.3,0,6.6,0,0,458.92,0.0,0.04477611940298508,False,True,False
51,2,11.5,82.09,44.0,0.65,0,3.1,1,0,23.0,0.0,0.203125,True,False,False
46,3,45.88,265.38,20.0,0.45,0,27.1,0,0,137.64000000000001,0.0,0.016544117647058824,False,True,False
35,6,64.16,936.87,48.0,0.07,0,0.5,0,1,384.96,0.0,0.11666666666666668,False,False,True
100,7,10.0,236.09,23.0,0.41,0,15.8,0,0,70.0,0.0,0.025786163522012576,True,False,False
8,5,47.54,722.9,35.0,0.22,0,5.9,0,0,237.7,0.0,0.03666666666666667,False,True,False
114,5,27.16,459.29,37.0,0.11,0,1.4,1,0,135.8,0.0,0.07333333333333333,False,False,False
68,10,25.03,775.22,51.0,0.26,0,6.6,0,0,250.3,0.0,0.038805970149253737,True,False,False
107,10,26.01,632.44,66.0,0.34,0,0.5,0,1,260.1,0.0,0.5666666666666668,True,False,False
16,3,15.71,92.41,60.0,0.03,0,2.9,0,0,47.13,0.0,0.01,True,False,False
67,7,19.26,373.17,44.0,0.22,0,1.0,1,0,134.82000000000002,0.0,0.19999999999999998,True,False,False
71,9,71.33,1554.97,49.0,0.49,0,1.1,0,1,641.97,0.0,0.40833333333333327,False,False,True
64,8,63.41,951.29,44.0,0.06,0,8.6,0,0,507.28,0.0,0.006896551724137931,False,False,True
2,7,34.1,599.53,43.0,0.2,1,1.7,0,0,238.70000000000002,0.125,0.11111111111111112,False,True,False
1,6,59.91,1064.0,38.0,0.12,0,3.2,0,1,359.46,0.0,0.03636363636363636,False,False,True
58,5,34.94,575.48,32.0,0.29,0,10.9,0,1,174.7,0.0,0.026363636363636363,False,False,True
1,8,12.64,205.92,38.0,0.29,2,1.4,1,0,101.12,0.2222222222222222,0.19333333333333333,True,False,False
102,9,62.9,1988.48,33.0,0.44,0,1.9,1,0,566.1,0.0,0.22,False,False,True
115,4,49.4,456.95,43.0,0.16,0,0.9,1,0,197.6,0.0,0.16,False,True,False
7,3,54.32,347.26,24.0,0.07,1,2.8,0,0,162.96,0.25,0.024137931034482762,False,False,True
88,4,72.28,673.09,38.0,0.39,0,18.9,0,0,289.12,0.0,0.020526315789473684,False,False,True
69,7,12.42,292.13,38.0,0.54,0,8.7,0,0,86.94,0.0,0.06136363636363638,True,False,False
85,9,25.74,721.76,42.0,0.25,1,0.5,1,0,231.66,0.1,0.4166666666666667,True,False,False
92,9,14.12,353.61,20.0,0.39,1,6.9,0,1,127.08,0.1,0.055714285714285716,True,False,False
18,6,44.47,654.05,73.0,0.05,0,4.1,1,0,266.82,0.0,0.011904761904761908,False,True,False
88,5,42.11,736.06,20.0,0.19,0,2.9,0,1,210.55,0.0,0.06333333333333334,False,False,True
32,5,67.53,576.07,41.0,0.3,0,2.5,0,0,337.65,0.0,0.11538461538461538,False,False,True
45,4,10.0,75.05,41.0,0.48,0,3.9,0,0,40.0,0.0,0.12,True,False,False
33,7,30.73,356.5,52.0,0.19,0,8.6,0,0,215.11,0.0,0.021839080459770118,False,True,False
74,11,48.36,1258.3,54.0,0.21,0,1.8,1,0,531.96,0.0,0.11052631578947367,False,True,False
73,11,27.54,1041.56,48.0,0.26,2,18.6,1,0,302.94,0.16666666666666666,0.01390374331550802,True,False,False
49,5,22.14,437.72,55.0,0.05,0,8.6,0,0,110.7,0.0,0.00574712643678161,True,False,False
33,5,17.79,330.65,39.0,0.27,3,0.8,1,0,88.94999999999999,0.5,0.3,True,False,False
97,6,44.85,600.23,46.0,0.06,0,1.8,1,0,269.1,0.0,0.03157894736842105,False,False,True
71,4,24.23,309.78,38.0,0.3,1,9.3,0,1,96.92,0.2,0.031914893617021274,True,False,False
68,6,53.25,737.87,25.0,0.78,0,15.2,0,1,319.5,0.0,0.05098039215686275,False,True,False
28,7,34.84,496.94,77.0,0.31,0,5.3,0,0,243.88000000000002,0.0,0.057407407407407414,False,True,False
87,5,13.99,111.33,49.0,0.18,0,0.5,1,0,69.95,0.0,0.3,True,False,False
53,5,71.79,825.46,30.0,0.58,0,3.7,0,0,358.95000000000005,0.0,0.1526315789473684,False,False,True
96,6,54.5,678.71,35.0,0.05,0,2.8,0,1,327.0,0.0,0.017241379310344827,False,False,True
44,5,10.4,91.56,34.0,0.45,0,9.1,0,1,52.0,0.0,0.04891304347826087,True,False,False
80,5,50.48,1006.71,46.0,0.27,2,1.9,1,0,252.39999999999998,0.3333333333333333,0.135,False,True,False
110,6,12.06,114.07,36.0,0.24,0,11.0,1,0,72.36,0.0,0.021621621621621623,True,False,False
55,5,20.36,323.67,45.0,0.28,2,0.6,0,1,101.8,0.3333333333333333,0.4000000000000001,True,False,False
10,3,14.03,123.06,50.0,0.34,0,10.6,0,1,42.089999999999996,0.0,0.031775700934579446,True,False,False
14,5,41.27,467.84,29.0,0.2,0,1.4,0,0,206.35000000000002,0.0,0.13333333333333333,False,True,False
103,3,54.83,525.22,56.0,0.54,0,0.5,0,1,164.49,0.0,0.9000000000000001,False,True,False
36,6,23.08,404.01,75.0,0.31,3,0.6,1,0,138.48,0.42857142857142855,0.4428571428571429,True,False,False
34,11,14.19,440.14,42.0,0.28,0,5.4,0,0,156.09,0.0,0.05090909090909091,True,False,False
88,2,28.14,219.22,47.0,0.28,1,3.0,0,1,56.28,0.3333333333333333,0.0903225806451613,False,False,True
18,5,19.3,269.44,20.0,0.32,0,2.6,0,1,96.5,0.0,0.11851851851851851,True,False,False
16,3,19.06,203.07,40.0,0.4,0,9.1,0,0,57.17999999999999,0.0,0.04347826086956522,True,False,False
105,5,53.78,755.32,58.0,0.3,0,0.8,0,0,268.9,0.0,0.3333333333333333,False,True,False
37,3,67.15,734.67,49.0,0.53,1,2.4,1,0,201.45000000000002,0.25,0.21200000000000002,False,False,True
41,4,11.22,95.27,30.0,0.53,1,4.4,1,0,44.88,0.2,0.11777777777777779,True,False,False
25,9,48.77,1428.42,52.0,0.42,1,13.1,0,1,438.93,0.1,0.03181818181818182,False,True,False
8,6,22.95,257.71,62.0,0.26,0,9.5,0,0,137.7,0.0,0.027083333333333334,False,False,False
88,3,23.86,206.08,79.0,0.23,0,15.2,0,0,71.58,0.0,0.015032679738562094,True,False,False
84,5,36.26,687.56,53.0,0.44,0,6.1,1,0,181.29999999999998,0.0,0.07096774193548389,False,True,False
112,4,17.48,111.4,55.0,0.23,0,3.3,0,0,69.92,0.0,0.06764705882352942,True,False,False
94,8,38.58,651.57,43.0,0.34,0,10.2,0,1,308.64,0.0,0.03300970873786408,False,True,False
84,11,47.93,2095.27,59.0,0.34,0,2.7,0,1,527.23,0.0,0.12142857142857143,False,True,False
18,8,25.34,792.04,52.0,0.44,0,0.8,0,1,202.72,0.0,0.4888888888888889,False,True,False
68,7,18.14,251.4,57.0,0.18,0,5.0,0,0,126.98,0.0,0.03529411764705882,True,False,False
48,2,54.81,258.57,75.0,0.06,0,5.4,0,0,109.62,0.0,0.010909090909090908,False,False,True
100,5,20.78,413.23,50.0,0.13,0,5.8,0,1,103.9,0.0,0.02203389830508475,True,False,False
70,5,20.58,314.18,29.0,0.11,0,6.8,0,0,102.89999999999999,0.0,0.01594202898550725,True,False,False
67,9,10.0,189.09,34.0,0.2,0,2.6,0,0,90.0,0.0,0.07407407407407407,True,False,False
18,9,40.29,1145.88,52.0,0.29,0,2.7,0,1,362.61,0.0,0.10357142857142855,False,True,False
111,5,51.97,753.38,52.0,0.24,1,12.2,0,0,259.85,0.16666666666666666,0.01951219512195122,False,True,False
104,4,17.02,219.48,62.0,0.73,0,3.0,1,0,68.08,0.0,0.23548387096774193,True,False,False
18,7,26.53,526.49,56.0,0.15,0,1.3,0,0,185.71,0.0,0.10714285714285712,False,True,False
56,3,10.05,117.76,46.0,0.46,1,7.7,0,1,30.150000000000002,0.25,0.05897435897435898,True,False,False
23,3,45.47,537.9,37.0,0.22,0,0.6,0,1,136.41,0.0,0.31428571428571433,False,True,False
35,5,14.74,163.29,50.0,0.11,0,4.5,0,0,73.7,0.0,0.02391304347826087,True,False,False
6,5,48.84,694.66,59.0,0.51,0,5.1,0,0,244.20000000000002,0.0,0.09807692307692309,False,True,False
118,10,25.68,608.0,44.0,0.14,0,6.4,1,0,256.8,0.0,0.02153846153846154,True,False,False
26,6,64.75,613.98,44.0,0.31,1,1.0,0,1,388.5,0.14285714285714285,0.2818181818181818,False,False,True
85,8,20.59,295.03,42.0,0.44,0,6.1,1,0,164.72,0.0,0.07096774193548389,True,False,False
61,6,20.93,353.56,35.0,0.15,0,0.5,0,1,125.58,0.0,0.25,True,False,False
88,3,18.26,139.76,53.0,0.01,1,0.5,0,1,54.78,0.25,0.016666666666666666,True,False,False
15,8,77.46,2005.2,28.0,0.03,1,10.8,0,1,619.68,0.1111111111111111,0.002752293577981651,False,False,True
91,4,62.66,641.39,57.0,0.26,1,14.2,1,0,250.64,0.2,0.018181818181818184,False,False,True
32,10,16.79,265.01,48.0,0.21,0,0.8,0,1,167.89999999999998,0.0,0.2333333333333333,True,False,False
12,7,29.89,516.65,52.0,0.36,1,11.4,0,0,209.23000000000002,0.125,0.03130434782608695,False,True,False
5,5,77.32,624.9,20.0,0.36,0,6.6,1,0,386.59999999999997,0.0,0.053731343283582096,False,False,True
64,6,31.83,618.92,54.0,0.33,0,5.7,1,0,190.98,0.0,0.056896551724137934,False,True,False
71,4,37.85,437.67,52.0,0.46,0,2.2,1,0,151.4,0.0,0.19999999999999998,False,True,False
86,4,21.25,310.9,87.0,0.34,0,2.8,0,1,85.0,0.0,0.11724137931034484,True,False,False
27,7,13.93,344.32,31.0,0.38,0,1.7,0,1,97.50999999999999,0.0,0.2111111111111111,True,False,False
79,3,78.6,731.96,32.0,0.03,0,4.8,0,1,235.79999999999998,0.0,0.006122448979591837,False,False,True
103,8,77.13,2267.37,74.0,0.08,0,1.9,0,1,617.04,0.0,0.04,False,False,True
45,10,54.29,880.5,32.0,0.54,0,1.4,1,0,542.9,0.0,0.36000000000000004,False,True,False
35,5,23.16,209.41,34.0,0.72,0,5.4,0,0,115.8,0.0,0.1309090909090909,True,False,False
26,6,12.24,118.19,42.0,0.15,0,10.9,0,1,73.44,0.0,0.013636363636363636,True,False,False
23,2,40.5,171.31,58.0,0.5,0,5.6,0,0,81.0,0.0,0.08771929824561404,False,True,False
13,9,91.98,1946.72,28.0,0.26,0,0.5,0,1,827.82,0.0,0.43333333333333335,False,False,True
90,3,80.54,652.53,28.0,0.39,0,9.1,0,0,241.62,0.0,0.04239130434782609,False,False,True
3,6,37.28,434.69,23.0,0.29,0,3.8,0,0,223.68,0.0,0.07435897435897436,False,False,False
29,6,37.68,798.09,42.0,0.44,1,1.4,0,0,226.07999999999998,0.14285714285714285,0.29333333333333333,False,True,False
66,6,18.68,219.57,29.0,0.25,0,17.1,0,0,112.08,0.0,0.01453488372093023,True,False,False
64,13,11.65,448.08,39.0,0.27,0,20.1,0,1,151.45000000000002,0.0,0.013366336633663366,True,False,False
28,3,73.24,637.97,41.0,0.33,0,5.4,1,0,219.71999999999997,0.0,0.060000000000000005,False,False,True
87,3,55.96,463.85,60.0,0.25,0,7.6,0,0,167.88,0.0,0.03246753246753247,False,True,False
36,7,25.83,699.07,72.0,0.01,0,5.3,0,1,180.81,0.0,0.0018518518518518521,True,False,False
113,8,25.0,543.22,48.0,0.78,0,3.9,0,1,200.0,0.0,0.195,True,False,False
6,5,51.48,762.7,23.0,0.83,2,0.5,0,1,257.4,0.3333333333333333,1.3833333333333333,False,True,False
11,5,10.0,155.06,58.0,0.43,0,9.8,0,0,50.0,0.0,0.04343434343434343,True,False,False
38,7,15.37,328.8,39.0,0.28,0,2.2,0,1,107.58999999999999,0.0,0.1217391304347826,True,False,False
118,6,31.19,618.04,31.0,0.06,0,3.6,1,0,187.14000000000001,0.0,0.016216216216216214,False,True,False
34,7,24.44,581.15,74.0,0.41,3,1.4,1,0,171.08,0.375,0.2733333333333333,False,True,False
81,5,61.4,1142.43,42.0,0.47,0,6.3,0,0,307.0,0.0,0.0734375,False,True,False
67,7,14.91,175.05,39.0,0.08,0,24.5,0,0,104.37,0.0,0.0032520325203252032,True,False,False
108,8,43.98,1207.52,64.0,0.42,0,0.7,1,0,351.84,0.0,0.525,False,True,False
46,5,13.49,178.03,81.0,0.17,0,2.4,1,0,67.45,0.0,0.068,True,False,False
98,4,18.91,174.94,27.0,0.75,0,6.6,1,0,75.64,0.0,0.1119402985074627,True,False,False
86,6,48.48,526.13,80.0,0.2,0,3.8,0,0,290.88,0.0,0.05128205128205129,False,True,False
29,5,35.1,639.82,53.0,0.23,0,5.1,0,1,175.5,0.0,0.04423076923076924,False,True,False
60,5,44.38,864.12,54.0,0.43,0,19.3,0,1,221.9,0.0,0.022164948453608245,False,False,True
54,8,57.34,1215.28,53.0,0.33,0,0.8,1,0,458.72,0.0,0.3666666666666667,False,True,False
93,10,30.21,1129.14,57.0,0.33,0,1.6,0,1,302.1,0.0,0.1941176470588235,False,True,False
69,1,24.69,49.23,40.0,0.52,0,1.3,0,0,24.69,0.0,0.3714285714285714,True,False,False
74,3,14.65,148.72,61.0,0.46,0,15.7,1,0,43.95,0.0,0.029113924050632914,True,False,False
74,5,14.17,233.68,43.0,0.62,0,7.1,0,1,70.85,0.0,0.08611111111111112,True,False,False
117,5,17.31,195.77,54.0,0.55,0,24.4,1,0,86.55,0.0,0.022448979591836737,True,False,False
9,4,50.47,466.63,48.0,0.73,1,0.5,1,0,201.88,0.2,1.2166666666666668,False,False,True
85,3,16.98,139.71,66.0,0.35,0,5.2,0,1,50.94,0.0,0.0660377358490566,True,False,False
77,9,79.77,1505.42,43.0,0.24,1,7.5,1,0,717.93,0.1,0.031578947368421054,False,False,True
10,9,40.94,1256.66,42.0,0.29,0,8.4,0,0,368.46,0.0,0.03411764705882353,False,True,False
102,4,24.78,379.83,20.0,0.21,2,1.1,1,0,99.12,0.4,0.17499999999999996,False,False,False
75,6,44.0,855.72,41.0,0.59,0,1.6,0,0,264.0,0.0,0.3470588235294117,False,True,False
68,7,30.12,366.66,79.0,0.27,0,5.3,1,1,210.84,0.0,0.05000000000000001,False,True,False
58,5,62.02,851.17,45.0,0.02,0,6.9,1,0,310.1,0.0,0.002857142857142857,False,True,False
110,5,14.75,180.54,39.0,0.6,0,0.5,0,1,73.75,0.0,1.0,True,False,False
95,5,36.56,381.21,61.0,0.61,1,10.3,1,0,182.8,0.16666666666666666,0.058653846153846154,False,True,False
113,7,21.76,361.69,52.0,0.03,1,5.5,0,0,152.32000000000002,0.125,0.005357142857142857,True,False,False
52,7,10.0,108.28,43.0,0.15,3,3.0,0,1,70.0,0.375,0.04838709677419355,True,False,False
34,6,31.13,435.81,33.0,0.55,1,4.5,0,1,186.78,0.14285714285714285,0.11956521739130437,False,True,False
106,3,26.47,309.95,32.0,0.4,0,3.1,0,0,79.41,0.0,0.125,True,False,False
35,2,66.65,442.26,79.0,0.33,0,2.0,1,0,133.3,0.0,0.15714285714285714,False,False,True
103,6,90.66,1497.19,58.0,0.3,0,1.7,0,1,543.96,0.0,0.16666666666666666,False,False,True
103,3,62.72,671.44,41.0,0.06,0,3.4,1,0,188.16,0.0,0.017142857142857144,False,False,True
33,8,18.91,494.03,40.0,0.37,0,8.0,0,1,151.28,0.0,0.04567901234567901,True,False,False
72,8,18.28,509.56,29.0,0.17,0,2.4,0,0,146.24,0.0,0.068,True,False,False
32,4,52.86,817.95,39.0,0.36,0,3.4,1,0,211.44,0.0,0.10285714285714286,False,False,True
55,11,35.54,1075.86,33.0,0.41,2,6.1,0,0,390.94,0.16666666666666666,0.06612903225806452,False,True,False
97,9,37.93,1148.26,54.0,0.32,0,3.0,1,1,341.37,0.0,0.1032258064516129,False,False,True
8,7,61.96,1343.53,57.0,0.28,0,2.5,0,0,433.72,0.0,0.1076923076923077,False,False,True
46,3,74.0,803.27,63.0,0.35,0,9.2,1,0,222.0,0.0,0.03763440860215054,False,False,True
14,6,10.0,232.09,41.0,0.47,0,3.8,0,1,60.0,0.0,0.12051282051282051,True,False,False
98,10,28.28,801.17,36.0,0.39,0,0.9,1,0,282.8,0.0,0.39,True,False,False
8,6,59.7,762.58,40.0,0.32,2,0.5,0,1,358.20000000000005,0.2857142857142857,0.5333333333333333,False,False,True
115,7,15.25,413.45,55.0,0.18,0,13.9,1,0,106.75,0.0,0.012857142857142857,True,False,False
