customer_id,marca_principal,recency_dias,frecuencia_6m,ticket_promedio_usd,ltv_historico_usd,tiempo_entrega_promedio_min,sensibilidad_promos,quejas_recientes,distancia_local_km,churn_delivery,conversion_salon
82,Noe Sushi Bar,99,5,42.53,384.98,63.0,0.72,0,11.8,1,0
83,Kobe Sushi,17,6,26.84,626.9,49.0,0.22,0,15.5,0,0
84,Kobe Sushi,42,12,14.65,544.13,72.0,0.35,0,17.4,0,0
85,Kobe Sushi,61,6,12.07,146.78,45.0,0.05,0,5.0,0,0
86,Kobe Sushi,3,4,20.88,152.95,30.0,0.2,0,6.6,0,1
87,Noe Sushi Bar,86,6,50.9,1032.93,55.0,0.48,2,3.2,0,0
88,Noe Sushi Bar,35,8,34.55,616.59,33.0,0.33,1,4.5,0,0
89,Nubori Experience,85,10,68.71,2017.28,52.0,0.25,0,7.3,0,1
90,Noe Sushi Bar,89,12,54.63,1391.34,25.0,0.07,0,10.5,1,0
91,Kobe Sushi,103,6,15.27,154.77,21.0,0.19,0,17.6,0,1
92,Noe Sushi Bar,66,8,30.48,616.36,61.0,0.43,0,5.3,1,0
93,Chef Choy,1,4,35.77,477.82,43.0,0.77,0,4.7,0,1
94,Noe Sushi Bar,7,6,33.63,667.8,21.0,0.15,0,5.0,0,0
95,Chef Choy,20,4,33.74,265.7,52.0,0.46,0,0.5,1,0
96,Noe Sushi Bar,43,8,41.8,714.32,42.0,0.14,0,5.3,1,0
97,Noe Sushi Bar,119,8,40.71,837.39,56.0,0.03,0,5.0,1,0
98,Noe Sushi Bar,6,7,49.08,1195.33,62.0,0.32,0,0.5,0,1
99,Kobe Sushi,55,8,15.49,399.47,66.0,0.48,0,1.3,0,0
100,Kobe Sushi,100,5,11.79,195.83,38.0,0.45,0,0.9,1,0
101,Kobe Sushi,115,4,24.38,235.5,27.0,0.54,0,3.5,1,0
102,Noe Sushi Bar,21,7,65.56,1672.37,58.0,0.3,0,6.6,0,0
103,Kobe Sushi,51,2,11.5,82.09,44.0,0.65,0,3.1,1,0
104,Noe Sushi Bar,46,3,45.88,265.38,20.0,0.45,0,27.1,0,0
105,Nubori Experience,35,6,64.16,936.87,48.0,0.07,0,0.5,0,1
106,Kobe Sushi,100,7,10.0,236.09,23.0,0.41,0,15.8,0,0
107,Noe Sushi Bar,8,5,47.54,722.9,35.0,0.22,0,5.9,0,0
108,Chef Choy,114,5,27.16,459.29,37.0,0.11,0,1.4,1,0
109,Kobe Sushi,68,10,25.03,775.22,51.0,0.26,0,6.6,0,0
110,Kobe Sushi,107,10,26.01,632.44,66.0,0.34,0,0.5,0,1
111,Kobe Sushi,16,3,15.71,92.41,60.0,0.03,0,2.9,0,0
112,Kobe Sushi,67,7,19.26,373.17,44.0,0.22,0,1.0,1,0
113,Nubori Experience,71,9,71.33,1554.97,49.0,0.49,0,1.1,0,1
114,Nubori Experience,64,8,63.41,951.29,44.0,0.06,0,8.6,0,0
115,Noe Sushi Bar,2,7,34.1,599.53,43.0,0.2,1,1.7,0,0
116,Nubori Experience,1,6,59.91,1064.0,38.0,0.12,0,3.2,0,1
117,Nubori Experience,58,5,34.94,575.48,32.0,0.29,0,10.9,0,1
118,Kobe Sushi,1,8,12.64,205.92,38.0,0.29,2,1.4,1,0
119,Nubori Experience,102,9,62.9,1988.48,33.0,0.44,0,1.9,1,0
120,Noe Sushi Bar,115,4,49.4,456.95,43.0,0.16,0,0.9,1,0
121,Nubori Experience,7,3,54.32,347.26,24.0,0.07,1,2.8,0,0
122,Nubori Experience,88,4,72.28,673.09,38.0,0.39,0,18.9,0,0
123,Kobe Sushi,69,7,12.42,292.13,38.0,0.54,0,8.7,0,0
124,Kobe Sushi,85,9,25.74,721.76,42.0,0.25,1,0.5,1,0
125,Kobe Sushi,92,9,14.12,353.61,20.0,0.39,1,6.9,0,1
126,Noe Sushi Bar,18,6,44.47,654.05,73.0,0.05,0,4.1,1,0
127,Nubori Experience,88,5,42.11,736.06,20.0,0.19,0,2.9,0,1
128,Nubori Experience,32,5,67.53,576.07,41.0,0.3,0,2.5,0,0
129,Kobe Sushi,45,4,10.0,75.05,41.0,0.48,0,3.9,0,0
130,Noe Sushi Bar,33,7,30.73,356.5,52.0,0.19,0,8.6,0,0
131,Noe Sushi Bar,74,11,48.36,1258.3,54.0,0.21,0,1.8,1,0
132,Kobe Sushi,73,11,27.54,1041.56,48.0,0.26,2,18.6,1,0
133,Kobe Sushi,49,5,22.14,437.72,55.0,0.05,0,8.6,0,0
134,Kobe Sushi,33,5,17.79,330.65,39.0,0.27,3,0.8,1,0
135,Nubori Experience,97,6,44.85,600.23,46.0,0.06,0,1.8,1,0
136,Kobe Sushi,71,4,24.23,309.78,38.0,0.3,1,9.3,0,1
137,Noe Sushi Bar,68,6,53.25,737.87,25.0,0.78,0,15.2,0,1
138,Noe Sushi Bar,28,7,34.84,496.94,77.0,0.31,0,5.3,0,0
139,Kobe Sushi,87,5,13.99,111.33,49.0,0.18,0,0.5,1,0
140,Nubori Experience,53,5,71.79,825.46,30.0,0.58,0,3.7,0,0
141,Nubori Experience,96,6,54.5,678.71,35.0,0.05,0,2.8,0,1
142,Kobe Sushi,44,5,10.4,91.56,34.0,0.45,0,9.1,0,1
143,Noe Sushi Bar,80,5,50.48,1006.71,46.0,0.27,2,1.9,1,0
144,Kobe Sushi,110,6,12.06,114.07,36.0,0.24,0,11.0,1,0
145,Kobe Sushi,55,5,20.36,323.67,45.0,0.28,2,0.6,0,1
146,Kobe Sushi,10,3,14.03,123.06,50.0,0.34,0,10.6,0,1
147,Noe Sushi Bar,14,5,41.27,467.84,29.0,0.2,0,1.4,0,0
148,Noe Sushi Bar,103,3,54.83,525.22,56.0,0.54,0,0.5,0,1
149,Kobe Sushi,36,6,23.08,404.01,75.0,0.31,3,0.6,1,0
150,Kobe Sushi,34,11,14.19,440.14,42.0,0.28,0,5.4,0,0
151,Nubori Experience,88,2,28.14,219.22,47.0,0.28,1,3.0,0,1
152,Kobe Sushi,18,5,19.3,269.44,20.0,0.32,0,2.6,0,1
153,Kobe Sushi,16,3,19.06,203.07,40.0,0.4,0,9.1,0,0
154,Noe Sushi Bar,105,5,53.78,755.32,58.0,0.3,0,0.8,0,0
155,Nubori Experience,37,3,67.15,734.67,49.0,0.53,1,2.4,1,0
156,Kobe Sushi,41,4,11.22,95.27,30.0,0.53,1,4.4,1,0
157,Noe Sushi Bar,25,9,48.77,1428.42,52.0,0.42,1,13.1,0,1
158,Chef Choy,8,6,22.95,257.71,62.0,0.26,0,9.5,0,0
159,Kobe Sushi,88,3,23.86,206.08,79.0,0.23,0,15.2,0,0
160,Noe Sushi Bar,84,5,36.26,687.56,53.0,0.44,0,6.1,1,0
161,Kobe Sushi,112,4,17.48,111.4,55.0,0.23,0,3.3,0,0
162,Noe Sushi Bar,94,8,38.58,651.57,43.0,0.34,0,10.2,0,1
163,Noe Sushi Bar,84,11,47.93,2095.27,59.0,0.34,0,2.7,0,1
164,Noe Sushi Bar,18,8,25.34,792.04,52.0,0.44,0,0.8,0,1
165,Kobe Sushi,68,7,18.14,251.4,57.0,0.18,0,5.0,0,0
166,Nubori Experience,48,2,54.81,258.57,75.0,0.06,0,5.4,0,0
167,Kobe Sushi,100,5,20.78,413.23,50.0,0.13,0,5.8,0,1
168,Kobe Sushi,70,5,20.58,314.18,29.0,0.11,0,6.8,0,0
169,Kobe Sushi,67,9,10.0,189.09,34.0,0.2,0,2.6,0,0
170,Noe Sushi Bar,18,9,40.29,1145.88,52.0,0.29,0,2.7,0,1
171,Noe Sushi Bar,111,5,51.97,753.38,52.0,0.24,1,12.2,0,0
172,Kobe Sushi,104,4,17.02,219.48,62.0,0.73,0,3.0,1,0
173,Noe Sushi Bar,18,7,26.53,526.49,56.0,0.15,0,1.3,0,0
174,Kobe Sushi,56,3,10.05,117.76,46.0,0.46,1,7.7,0,1
175,Noe Sushi Bar,23,3,45.47,537.9,37.0,0.22,0,0.6,0,1
176,Kobe Sushi,35,5,14.74,163.29,50.0,0.11,0,4.5,0,0
177,Noe Sushi Bar,6,5,48.84,694.66,59.0,0.51,0,5.1,0,0
178,Kobe Sushi,118,10,25.68,608.0,44.0,0.14,0,6.4,1,0
179,Nubori Experience,26,6,64.75,613.98,44.0,0.31,1,1.0,0,1
180,Kobe Sushi,85,8,20.59,295.03,42.0,0.44,0,6.1,1,0
181,Kobe Sushi,61,6,20.93,353.56,35.0,0.15,0,0.5,0,1
182,Kobe Sushi,88,3,18.26,139.76,53.0,0.01,1,0.5,0,1
183,Nubori Experience,15,8,77.46,2005.2,28.0,0.03,1,10.8,0,1
184,Nubori Experience,91,4,62.66,641.39,57.0,0.26,1,14.2,1,0
185,Kobe Sushi,32,10,16.79,265.01,48.0,0.21,0,0.8,0,1
186,Noe Sushi Bar,12,7,29.89,516.65,52.0,0.36,1,11.4,0,0
187,Nubori Experience,5,5,77.32,624.9,20.0,0.36,0,6.6,1,0
188,Noe Sushi Bar,64,6,31.83,618.92,54.0,0.33,0,5.7,1,0
189,Noe Sushi Bar,71,4,37.85,437.67,52.0,0.46,0,2.2,1,0
190,Kobe Sushi,86,4,21.25,310.9,87.0,0.34,0,2.8,0,1
191,Kobe Sushi,27,7,13.93,344.32,31.0,0.38,0,1.7,0,1
192,Nubori Experience,79,3,78.6,731.96,32.0,0.03,0,4.8,0,1
193,Nubori Experience,103,8,77.13,2267.37,74.0,0.08,0,1.9,0,1
194,Noe Sushi Bar,45,10,54.29,880.5,32.0,0.54,0,1.4,1,0
195,Kobe Sushi,35,5,23.16,209.41,34.0,0.72,0,5.4,0,0
196,Kobe Sushi,26,6,12.24,118.19,42.0,0.15,0,10.9,0,1
197,Noe Sushi Bar,23,2,40.5,171.31,58.0,0.5,0,5.6,0,0
198,Nubori Experience,13,9,91.98,1946.72,28.0,0.26,0,0.5,0,1
199,Nubori Experience,90,3,80.54,652.53,28.0,0.39,0,9.1,0,0
200,Chef Choy,3,6,37.28,434.69,23.0,0.29,0,3.8,0,0
201,Noe Sushi Bar,29,6,37.68,798.09,42.0,0.44,1,1.4,0,0
202,Kobe Sushi,66,6,18.68,219.57,29.0,0.25,0,17.1,0,0
203,Kobe Sushi,64,13,11.65,448.08,39.0,0.27,0,20.1,0,1
204,Nubori Experience,28,3,73.24,637.97,41.0,0.33,0,5.4,1,0
205,Noe Sushi Bar,87,3,55.96,463.85,60.0,0.25,0,7.6,0,0
206,Kobe Sushi,36,7,25.83,699.07,72.0,0.01,0,5.3,0,1
207,Kobe Sushi,113,8,25.0,543.22,48.0,0.78,0,3.9,0,1
208,Noe Sushi Bar,6,5,51.48,762.7,23.0,0.83,2,0.5,0,1
209,Kobe Sushi,11,5,10.0,155.06,58.0,0.43,0,9.8,0,0
210,Kobe Sushi,38,7,15.37,328.8,39.0,0.28,0,2.2,0,1
211,Noe Sushi Bar,118,6,31.19,618.04,31.0,0.06,0,3.6,1,0
212,Noe Sushi Bar,34,7,24.44,581.15,74.0,0.41,3,1.4,1,0
213,Noe Sushi Bar,81,5,61.4,1142.43,42.0,0.47,0,6.3,0,0
214,Kobe Sushi,67,7,14.91,175.05,39.0,0.08,0,24.5,0,0
215,Noe Sushi Bar,108,8,43.98,1207.52,64.0,0.42,0,0.7,1,0
216,Kobe Sushi,46,5,13.49,178.03,81.0,0.17,0,2.4,1,0
217,Kobe Sushi,98,4,18.91,174.94,27.0,0.75,0,6.6,1,0
218,Noe Sushi Bar,86,6,48.48,526.13,80.0,0.2,0,3.8,0,0
219,Noe Sushi Bar,29,5,35.1,639.82,53.0,0.23,0,5.1,0,1
220,Nubori Experience,60,5,44.38,864.12,54.0,0.43,0,19.3,0,1
221,Noe Sushi Bar,54,8,57.34,1215.28,53.0,0.33,0,0.8,1,0
222,Noe Sushi Bar,93,10,30.21,1129.14,57.0,0.33,0,1.6,0,1
223,Kobe Sushi,69,1,24.69,49.23,40.0,0.52,0,1.3,0,0
224,Kobe Sushi,74,3,14.65,148.72,61.0,0.46,0,15.7,1,0
225,Kobe Sushi,74,5,14.17,233.68,43.0,0.62,0,7.1,0,1
226,Kobe Sushi,117,5,17.31,195.77,54.0,0.55,0,24.4,1,0
227,Nubori Experience,9,4,50.47,466.63,48.0,0.73,1,0.5,1,0
228,Kobe Sushi,85,3,16.98,139.71,66.0,0.35,0,5.2,0,1
229,Nubori Experience,77,9,79.77,1505.42,43.0,0.24,1,7.5,1,0
230,Noe Sushi Bar,10,9,40.94,1256.66,42.0,0.29,0,8.4,0,0
231,Chef Choy,102,4,24.78,379.83,20.0,0.21,2,1.1,1,0
232,Noe Sushi Bar,75,6,44.0,855.72,41.0,0.59,0,1.6,0,0
233,Noe Sushi Bar,68,7,30.12,366.66,79.0,0.27,0,5.3,1,1
234,Noe Sushi Bar,58,5,62.02,851.17,45.0,0.02,0,6.9,1,0
235,Kobe Sushi,110,5,14.75,180.54,39.0,0.6,0,0.5,0,1
236,Noe Sushi Bar,95,5,36.56,381.21,61.0,0.61,1,10.3,1,0
237,Kobe Sushi,113,7,21.76,361.69,52.0,0.03,1,5.5,0,0
238,Kobe Sushi,52,7,10.0,108.28,43.0,0.15,3,3.0,0,1
239,Noe Sushi Bar,34,6,31.13,435.81,33.0,0.55,1,4.5,0,1
240,Kobe Sushi,106,3,26.47,309.95,32.0,0.4,0,3.1,0,0
241,Nubori Experience,35,2,66.65,442.26,79.0,0.33,0,2.0,1,0
242,Nubori Experience,103,6,90.66,1497.19,58.0,0.3,0,1.7,0,1
243,Nubori Experience,103,3,62.72,671.44,41.0,0.06,0,3.4,1,0
244,Kobe Sushi,33,8,18.91,494.03,40.0,0.37,0,8.0,0,1
245,Kobe Sushi,72,8,18.28,509.56,29.0,0.17,0,2.4,0,0
246,Nubori Experience,32,4,52.86,817.95,39.0,0.36,0,3.4,1,0
247,Noe Sushi Bar,55,11,35.54,1075.86,33.0,0.41,2,6.1,0,0
248,Nubori Experience,97,9,37.93,1148.26,54.0,0.32,0,3.0,1,1
249,Nubori Experience,8,7,61.96,1343.53,57.0,0.28,0,2.5,0,0
250,Nubori Experience,46,3,74.0,803.27,63.0,0.35,0,9.2,1,0
251,Kobe Sushi,14,6,10.0,232.09,41.0,0.47,0,3.8,0,1
252,Kobe Sushi,98,10,28.28,801.17,36.0,0.39,0,0.9,1,0
253,Nubori Experience,8,6,59.7,762.58,40.0,0.32,2,0.5,0,1
254,Kobe Sushi,115,7,15.25,413.45,55.0,0.18,0,13.9,1,0
255,Kobe Sushi,106,12,16.48,722.61,69.0,0.58,0,21.0,1,0
256,Noe Sushi Bar,71,4,47.3,486.86,55.0,0.31,0,5.3,0,0
257,Nubori Experience,77,8,77.21,1859.86,40.0,0.53,0,4.6,0,1
258,Noe Sushi Bar,54,7,33.91,589.96,54.0,0.41,0,6.8,0,0
259,Noe Sushi Bar,21,12,45.04,1830.26,46.0,0.12,0,7.5,0,0
260,Kobe Sushi,111,6,21.56,407.91,48.0,0.43,0,4.5,0,0
261,Noe Sushi Bar,96,9,37.48,1152.31,53.0,0.58,0,1.6,1,0
262,Nubori Experience,75,5,67.24,1111.22,62.0,0.2,0,2.1,0,1
263,Kobe Sushi,14,7,18.97,514.55,50.0,0.38,0,0.5,0,1
264,Noe Sushi Bar,75,4,25.5,343.49,47.0,0.43,0,10.0,0,0
265,Nubori Experience,2,7,46.99,992.51,42.0,0.53,0,14.2,0,0
266,Noe Sushi Bar,98,9,43.48,750.28,40.0,0.53,0,0.7,1,0
267,Noe Sushi Bar,61,3,23.37,120.19,29.0,0.18,1,8.2,1,0
268,Noe Sushi Bar,108,5,38.2,743.76,39.0,0.5,0,11.3,1,0
269,Kobe Sushi,111,4,17.16,232.46,38.0,0.51,0,5.9,1,0
270,Kobe Sushi,17,5,12.29,235.35,47.0,0.2,0,0.6,0,1
271,Nubori Experience,78,9,51.43,700.39,66.0,0.25,0,7.8,0,1
272,Nubori Experience,89,9,80.84,2680.6,45.0,0.06,0,0.5,0,1
273,Nubori Experience,48,2,69.81,378.51,72.0,0.08,0,14.6,0,0
274,Nubori Experience,91,5,57.44,945.03,48.0,0.85,1,2.3,1,1
275,Noe Sushi Bar,8,8,54.95,855.2,24.0,0.33,0,7.4,0,1
276,Noe Sushi Bar,56,7,46.8,765.25,39.0,0.19,0,19.2,1,0
277,Chef Choy,17,10,25.52,949.6,40.0,0.14,0,26.6,0,0
278,Noe Sushi Bar,69,8,50.31,963.41,58.0,0.37,2,13.1,0,0
279,Noe Sushi Bar,12,11,64.77,2527.37,41.0,0.37,0,1.0,0,1
280,Chef Choy,38,7,13.79,178.7,38.0,0.1,0,8.6,0,0
281,Nubori Experience,18,13,55.37,1298.95,26.0,0.25,0,3.2,0,0
282,Kobe Sushi,26,9,13.51,423.27,33.0,0.22,0,0.5,0,1
283,Kobe Sushi,95,4,23.25,246.78,31.0,0.55,1,2.1,0,0
284,Kobe Sushi,37,4,17.54,127.11,20.0,0.28,1,4.5,0,0
285,Noe Sushi Bar,70,9,13.99,218.06,20.0,0.6,0,3.8,0,1
286,Kobe Sushi,41,3,15.67,112.98,33.0,0.61,0,10.9,0,1
287,Noe Sushi Bar,79,5,52.52,1012.51,26.0,0.69,0,2.6,0,0
288,Noe Sushi Bar,42,5,39.08,722.77,48.0,0.5,0,1.9,0,0
289,Kobe Sushi,113,6,19.27,276.32,67.0,0.07,0,14.3,0,0
290,Noe Sushi Bar,90,7,40.2,595.69,34.0,0.2,0,3.6,0,1
291,Kobe Sushi,115,5,11.62,103.45,65.0,0.36,0,12.8,1,1
292,Kobe Sushi,76,8,22.26,533.18,50.0,0.32,0,1.1,0,1
293,Nubori Experience,41,8,60.59,997.75,63.0,0.13,2,1.9,1,0
294,Kobe Sushi,47,7,13.15,334.9,57.0,0.3,0,17.4,0,0
295,Kobe Sushi,14,4,15.47,102.85,24.0,0.38,1,0.8,0,0
296,Noe Sushi Bar,1,7,56.02,676.19,34.0,0.24,0,7.0,0,1
297,Chef Choy,17,5,37.41,337.0,30.0,0.11,0,3.7,1,0
298,Kobe Sushi,97,6,25.58,263.64,53.0,0.55,0,2.4,1,0
299,Noe Sushi Bar,55,5,27.38,501.39,22.0,0.25,0,12.4,0,1
300,Kobe Sushi,93,6,23.52,427.85,55.0,0.35,1,12.8,0,0
301,Kobe Sushi,53,7,18.33,346.6,65.0,0.68,0,1.6,0,0
302,Noe Sushi Bar,118,4,30.4,440.1,37.0,0.2,0,10.0,0,1
303,Noe Sushi Bar,109,6,32.28,540.33,40.0,0.21,0,15.1,1,0
304,Noe Sushi Bar,31,4,64.99,1014.95,74.0,0.46,0,9.1,0,1
305,Noe Sushi Bar,62,3,39.41,210.26,36.0,0.21,0,7.4,0,1
306,Nubori Experience,8,6,66.71,1093.71,60.0,0.2,0,25.6,0,0
307,Noe Sushi Bar,30,9,42.7,1504.51,53.0,0.36,0,1.1,0,0
308,Kobe Sushi,77,5,20.5,169.58,26.0,0.18,0,2.7,0,1
309,Chef Choy,80,5,23.4,405.61,46.0,0.32,0,2.2,0,1
310,Kobe Sushi,66,7,17.81,417.13,61.0,0.5,0,1.8,0,1
311,Noe Sushi Bar,45,1,47.4,173.14,23.0,0.53,1,4.1,0,0
312,Kobe Sushi,18,5,17.53,317.14,56.0,0.08,0,0.5,0,1
313,Kobe Sushi,99,4,15.0,187.49,55.0,0.25,0,0.5,0,1
314,Nubori Experience,45,5,65.45,627.0,28.0,0.29,1,0.5,0,0
315,Nubori Experience,19,5,53.99,461.58,42.0,0.17,1,7.3,0,0
316,Noe Sushi Bar,77,8,26.24,680.89,39.0,0.18,0,2.6,1,0
317,Noe Sushi Bar,115,7,35.38,587.94,54.0,0.27,0,9.7,1,0
318,Kobe Sushi,68,7,17.47,483.51,26.0,0.19,1,4.3,1,0
319,Kobe Sushi,83,5,18.36,159.87,34.0,0.57,1,1.0,0,0
320,Kobe Sushi,50,6,22.34,438.19,65.0,0.18,0,26.5,0,0
321,Noe Sushi Bar,25,5,23.86,398.78,44.0,0.38,0,8.1,0,1
322,Noe Sushi Bar,38,11,35.18,855.82,49.0,0.5,0,2.6,0,1
323,Noe Sushi Bar,115,6,54.84,1281.85,68.0,0.23,0,5.1,0,0
324,Kobe Sushi,95,7,20.19,450.7,48.0,0.08,2,5.0,0,1
325,Nubori Experience,36,12,60.11,2290.64,45.0,0.28,0,3.6,0,1
326,Noe Sushi Bar,68,3,45.83,362.1,56.0,0.18,0,5.9,0,0
327,Noe Sushi Bar,56,3,47.43,284.12,34.0,0.17,0,2.8,0,1
328,Noe Sushi Bar,39,4,37.46,393.18,35.0,0.56,0,7.3,0,1
329,Noe Sushi Bar,63,7,34.45,737.82,36.0,0.09,1,4.5,0,1
330,Kobe Sushi,7,7,15.39,164.67,25.0,0.42,0,3.2,1,0
331,Kobe Sushi,119,5,13.59,169.91,27.0,0.22,0,3.3,0,0
332,Chef Choy,58,4,26.49,357.09,56.0,0.45,2,3.9,1,0
